Last login: Wed Nov 19 09:15:22 on ttys016
/dev/fd/12:18: command not found: compdef
(base) atlesund@Atles-MacBook-Pro ~ % psql -h 138.100.82.184 -U lectura -d 2207 -p 2345                                         
Password for user lectura: 
psql (14.19 (Homebrew), server 14.17 (Debian 14.17-1.pgdg120+1))
Type "help" for help.

2207=> SELECT vf.value, TO_TIMESTAMP(vf.date/1000) AS ts, v.name, v.datatype, units.prettyname FROM variable_log_float vf LEFT JOIN variable v ON vf.id_var = v.id LEFT JOIN units ON units.name = v.name ORDER BY ts DESC LIMIT 50;
     value     |           ts           |                 name                  |     datatype      |            prettyname             
            45 | 2022-02-23 18:59:57+00 | SPINDLE_LOAD_1                        | java.lang.Integer | Spindle 1, motor utilization
            49 | 2022-02-23 18:59:57+00 | EJE_5_UTILIZACION_MOTOR               | java.lang.Integer | Axis 5, motor utilization
            22 | 2022-02-23 18:59:57+00 | EJE_8_UTILIZACION_MOTOR               | java.lang.Integer | Axis 8, motor utilization
  1.645643e+09 | 2022-02-23 18:59:57+00 | CURRENT_TIME                          | java.lang.Integer | Time
          1525 | 2022-02-23 18:59:57+00 | TEMPERATURA_BASE                      | java.lang.Short   | Base temperature
(50 rows)

2207=> SELECT vf.value, TO_TIMESTAMP(vf.date/1000) AS ts, v.name, v.datatype, units.prettyname FROM variable_log_float vf LEFT JOIN variable v ON vf.id_var = v.id LEFT JOIN units ON units.name = v.name WHERE TO_TIMESTAMP(vf.date/1000)::date = DATE '2022-02-23' AND v.name = 'TEMPERATURA_BASE' ORDER BY ts DESC;
 value |           ts           |       name       |    datatype     |    prettyname    
-------+------------------------+------------------+-----------------+------------------
  1526 | 2022-02-23 18:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:59:57+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:59:56+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1529 | 2022-02-23 18:59:55+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:59:54+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:59:53+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:59:52+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:59:51+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:59:50+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:59:48+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:59:47+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:59:46+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1528 | 2022-02-23 18:59:45+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:59:44+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:59:43+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:59:42+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:59:41+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:59:40+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1531 | 2022-02-23 18:59:39+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:59:38+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:59:37+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1518 | 2022-02-23 18:59:36+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1528 | 2022-02-23 18:59:35+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:59:34+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:59:33+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:59:32+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:59:31+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:59:29+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:59:28+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:59:27+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:59:26+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:59:25+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:59:24+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:59:23+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:59:22+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:59:21+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1529 | 2022-02-23 18:59:20+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:59:19+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:59:18+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:59:17+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:59:16+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:59:15+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:59:13+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:59:12+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:59:11+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:59:10+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:59:09+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:59:08+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:59:06+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:59:05+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:59:04+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:59:03+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:59:02+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:59:01+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:59:00+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:58:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:58:58+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:58:57+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:58:56+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:58:55+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1516 | 2022-02-23 18:58:54+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:58:53+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:52+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:58:51+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:58:50+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:58:48+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1532 | 2022-02-23 18:58:47+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:58:46+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1529 | 2022-02-23 18:58:45+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:44+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:58:43+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:42+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:58:40+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:58:39+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:58:38+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:58:37+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:58:36+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:35+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:58:34+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:33+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:58:32+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:58:31+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:58:29+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:28+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:58:27+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:58:26+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:58:25+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:58:23+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:22+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:58:21+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:58:20+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:58:19+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:58:18+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:17+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:58:15+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:14+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:58:13+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:58:12+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:58:09+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:58:08+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:58:07+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:58:06+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:58:05+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:58:04+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:58:03+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:58:02+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:58:01+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:58:00+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:57:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:57:58+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:57+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:57:56+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:57:55+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:57:54+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:57:53+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:57:52+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:51+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:57:50+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:57:45+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:44+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:57:43+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:57:42+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:40+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:57:39+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:37+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:57:36+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:35+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:57:34+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:57:33+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:57:32+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:57:31+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:57:30+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:29+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:57:28+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:57:27+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:57:26+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:57:25+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:57:24+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:57:23+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:22+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:57:21+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1516 | 2022-02-23 18:57:20+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:57:19+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:17+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:57:15+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:57:14+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1528 | 2022-02-23 18:57:13+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:57:12+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:57:11+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:57:10+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:57:09+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:57:08+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:57:07+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:57:06+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:57:05+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:57:04+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:57:02+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:57:01+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:57:00+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:56:58+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:56:57+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:56:56+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:56:55+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:56:53+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1516 | 2022-02-23 18:56:52+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1526 | 2022-02-23 18:56:51+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:56:50+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:56:49+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:56:48+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:56:47+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:56:46+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1527 | 2022-02-23 18:56:45+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:56:44+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:56:43+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:56:42+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:56:41+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1522 | 2022-02-23 18:56:40+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:56:39+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:56:37+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:56:36+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:56:35+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:56:34+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1520 | 2022-02-23 18:56:33+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1523 | 2022-02-23 18:56:32+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:56:31+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1524 | 2022-02-23 18:56:30+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:56:29+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1519 | 2022-02-23 18:56:28+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1525 | 2022-02-23 18:56:27+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 18:56:26+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature


2207=> 
2207=> 
2207=> WITH raw AS (
    SELECT
        TO_TIMESTAMP(vf.date/1000) AS ts,
        vf.value::int AS val
    FROM variable_log_float vf
    JOIN variable v ON v.id = vf.id_var
    WHERE v.name = 'MACHINE_IN_OPERATION'
      AND TO_TIMESTAMP(vf.date/1000) >= TIMESTAMPTZ '2022-02-23 00:00:00+00'
      AND TO_TIMESTAMP(vf.date/1000) <  TIMESTAMPTZ '2022-02-24 00:00:00+00'
),
seg AS (
    SELECT
        ts,
        val,
        LEAD(ts) OVER (ORDER BY ts) AS ts_next
    FROM raw
)
SELECT *
FROM seg
ORDER BY ts;
           ts           | val |        ts_next         
------------------------+-----+------------------------
 2022-02-23 00:12:51+00 |   0 | 2022-02-23 00:12:54+00
 2022-02-23 00:12:54+00 | 255 | 2022-02-23 00:12:55+00
 2022-02-23 00:12:55+00 |   0 | 2022-02-23 00:59:54+00
 2022-02-23 00:59:54+00 | 255 | 2022-02-23 01:00:53+00
 2022-02-23 01:00:53+00 |   0 | 2022-02-23 01:01:36+00
 2022-02-23 01:01:36+00 | 255 | 2022-02-23 01:02:19+00
 2022-02-23 01:02:19+00 |   0 | 2022-02-23 01:02:40+00
 2022-02-23 01:02:40+00 | 255 | 2022-02-23 01:04:12+00
 2022-02-23 01:04:12+00 |   0 | 2022-02-23 01:04:16+00
